Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,120,0
File,"AnnotationBasedDispatcherTest.java",,,,6,69,0
File,"AvansServlet.java",,,,11,61,38
File,"AvansWebApplicationTest.java",,,,43,467,3
File,"BaseController.java",,,,0,4,0
File,"BaseController.java",,,,2,20,6
File,"BasicAPIResponse.java",,,,7,36,0
File,"BasicModule.java",,,,4,24,0
File,"BasicModule.java",,,,0,4,0
File,"BeanParam.java",,,,0,9,0
File,"BeanParamTest.java",,,,17,294,14
File,"BeforeDispatchTrigger.java",,,,0,9,13
File,"BeforeDispatchTriggerTest.java",,,,8,67,1
File,"CLIModule.java",,,,0,4,0
File,"CLIModule.java",,,,1,17,0
File,"CharacterEscapesAgainstXSS.java",,,,3,22,2
File,"Config.java",,,,0,8,0
File,"Config.java",,,,0,4,0
File,"ConfigProvider.java",,,,0,4,0
File,"ConfigProvider.java",,,,5,36,0
File,"ConnectionProvider.java",,,,3,36,3
File,"ConnectionProvider.java",,,,0,4,0
File,"Controller.java",,,,0,23,11
File,"ControllerBase.java",,,,162,808,101
File,"ControllerBaseTest.java",,,,153,1233,100
File,"ControllerTestBase.java",,,,0,4,0
File,"ControllerTestBase.java",,,,3,35,5
File,"DataSourceConfig.java",,,,0,4,0
File,"DataSourceConfig.java",,,,0,7,2
File,"DataSourceProvider.java",,,,0,4,0
File,"DataSourceProvider.java",,,,3,28,2
File,"DefaultServlet.java",,,,1,15,0
File,"DefaultServlet.java",,,,0,4,0
File,"DefaultSessionCookieFactory.java",,,,4,47,3
File,"DefaultSessionCookieFactoryTest.java",,,,1,18,0
File,"DefaultWebSessionManager.java",,,,43,227,9
File,"DefaultXSRFTokenCookieFactory.java",,,,6,61,8
File,"DefaultXSRFTokenCookieFactoryTest.java",,,,1,29,2
File,"Dispatcher.java",,,,5,41,3
File,"Dispatcher.java",,,,25,151,15
File,"Dispatcher.java",,,,0,4,0
File,"ErrorPageRenderer.java",,,,0,6,7
File,"FilterScanner.java",,,,14,67,3
File,"Filters.java",,,,6,37,0
File,"FreeMarkerView.java",,,,3,42,0
File,"FreeMarkerViewTest.java",,,,5,59,2
File,"FreemarkerConfigurationProvider.java",,,,0,4,0
File,"FreemarkerConfigurationProvider.java",,,,8,59,4
File,"FreemarkerView.java",,,,3,48,0
File,"FreemarkerView.java",,,,0,4,0
File,"GET.java",,,,0,10,0
File,"GuiceServletConfig.java",,,,0,4,0
File,"GuiceServletConfig.java",,,,5,41,2
File,"HTMLFilter.java",,,,0,9,3
File,"HTMLFilterProvider.java",,,,0,4,0
File,"HTMLFilterTest.java",,,,4,40,0
File,"HashMapSessionStore.java",,,,4,26,7
File,"Helper.java",,,,5,26,0
File,"Helper.java",,,,0,4,0
File,"HtmlTemplateLoader.java",,,,6,38,0
File,"HtmlTemplateLoader.java",,,,0,4,0
File,"JDBCConfig.java",,,,0,4,0
File,"JDBCConfig.java",,,,0,8,0
File,"JSONErrorPageRenderer.java",,,,1,12,7
File,"JSONParamReader.java",,,,0,7,3
File,"JSONRendererProvider.java",,,,0,5,7
File,"JacksonJsonParamReader.java",,,,6,48,7
File,"JacksonJsonParamReaderBenchmark.java",,,,3,32,1
File,"JacksonJsonParamReaderTest.java",,,,1,56,0
File,"JacksonJsonView.java",,,,6,53,9
File,"JacksonJsonViewBenchmark.java",,,,10,103,0
File,"JacksonJsonViewTest.java",,,,117,640,6
File,"JsonParam.java",,,,0,9,0
File,"K.java",,,,10,53,23
File,"Main.java",,,,1,15,0
File,"MyController.java",,,,2,19,0
File,"MySQLService.java",,,,2,14,3
File,"MySQLService.java",,,,0,4,0
File,"MySQLServiceTest.java",,,,1,12,0
File,"MySQLServiceTest.java",,,,0,4,0
File,"POST.java",,,,0,10,0
File,"Param.java",,,,0,10,0
File,"ParamProcessor.java",,,,0,12,21
File,"ParamProcessorTest.java",,,,14,147,0
File,"ParameterProcessorResult.java",,,,15,65,23
File,"PathParam.java",,,,0,10,0
File,"PooledConnectionProvider.java",,,,0,4,0
File,"PooledConnectionProvider.java",,,,3,26,3
File,"ResponseConverter.java",,,,0,10,18
File,"ResponseConverterTest.java",,,,4,45,0
File,"ResponseFilter.java",,,,0,9,12
File,"ResponseFilterTest.java",,,,4,44,0
File,"RootController.java",,,,7,58,1
File,"RootController.java",,,,0,4,0
File,"RootController.java",,,,1,29,0
File,"RootControllerTest.java",,,,0,4,0
File,"RootControllerTest.java",,,,1,15,0
File,"RootControllerTest.java",,,,5,68,1
File,"SampleCLI.java",,,,0,4,0
File,"SampleCLI.java",,,,3,27,0
File,"SampleCLITest.java",,,,1,10,0
File,"SampleCLITest.java",,,,0,4,0
File,"SecureRandomSessionIDGenerator.java",,,,2,20,13
File,"SecureRandomSessionIDGeneratorTest.java",,,,2,23,0
File,"Servlet.java",,,,0,4,0
