Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,0,2867
File,"AST.java",,,,187,737,33
File,"AbstractAST.java",,,,0,9,26
File,"AbstractAttrs.java",,,,4,17,26
File,"AbstractEvaluatorContext.java",,,,20,80,26
File,"AbstractGrammarGraphSymbolVisitor.java",,,,13,58,26
File,"AbstractInput.java",,,,14,62,0
File,"AbstractRangeMap.java",,,,1,12,0
File,"AbstractRegularExpression.java",,,,5,27,0
File,"AbstractSymbol.java",,,,16,56,26
File,"AbstractSymbolVisitor.java",,,,16,67,0
File,"AbstractTransition.java",,,,5,24,26
File,"Align.java",,,,18,74,26
File,"Alt.java",,,,21,84,26
File,"Alt.java",,,,44,160,26
File,"AltTest.java",,,,3,40,26
File,"Alternative.java",,,,30,103,4
File,"AmbiguityException.java",,,,3,20,0
File,"AmbiguityNode.java",,,,15,61,0
File,"AmbiguousSPPFToParseTreeVisitor.java",,,,34,160,5
File,"ArrayEnvironment.java",,,,34,140,1
File,"ArrayEvaluatorContext.java",,,,2,12,0
File,"ArrayIntRangeMap.java",,,,6,28,0
File,"Assert.java",,,,4,14,0
File,"AssertionFailedException.java",,,,1,7,0
File,"Associativity.java",,,,2,15,26
File,"AssociativityGroup.java",,,,21,84,26
File,"Attr.java",,,,0,7,26
File,"AttributesTest.java",,,,1,31,1
File,"Automaton.java",,,,22,93,95
File,"AutomatonBuilder.java",,,,52,200,42
File,"AutomatonOperations.java",,,,86,318,59
File,"AutomatonToDot.java",,,,8,39,0
File,"AutomatonVisitor.java",,,,5,24,29
File,"BackwardMatcherTest.java",,,,1,15,0
File,"BenchmarkUtil.java",,,,6,24,26
File,"BinarySearchIntRangeMap.java",,,,5,25,0
File,"BinarySearchRangeMap.java",,,,5,22,0
File,"Block.java",,,,16,74,26
File,"BodyGrammarSlot.java",,,,43,171,34
File,"ChainingIntHashMap.java",,,,51,227,4
File,"Char.java",,,,23,89,32
File,"CharRange.java",,,,24,101,31
File,"CharRangeTest.java",,,,8,125,36
File,"CharTest.java",,,,3,33,26
File,"CharacterClassTest.java",,,,3,56,26
File,"CharacterRanges.java",,,,31,96,26
File,"Code.java",,,,17,80,26
File,"CodeHolder.java",,,,21,84,0
File,"CodeTransition.java",,,,3,24,26
File,"CollectRegularExpressions.java",,,,30,112,33
File,"CollectionsUtil.java",,,,61,185,26
File,"CollectionsUtilTest.java",,,,2,17,0
