Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ConfigurationAsCodeTest.java",,,,10,155,14
File,"DescriptorImplTest.java",,,,10,153,8
File,"EscapeHatchCrumbExclusion.java",,,,2,21,6
File,"EscapeHatchCrumbExclusionTest.java",,,,4,38,1
File,"FieldTest.java",,,,2,63,0
File,"JenkinsAwareConnectionFactory.java",,,,4,22,7
File,"JenkinsAwareConnectionFactoryTest.java",,,,2,29,2
File,"OicLogoutAction.java",,,,3,19,30
File,"OicLogoutActionTest.java",,,,4,25,0
File,"OicSecurityRealm.java",,,,156,774,118
File,"OicSecurityRealmTest.java",,,,5,68,0
File,"OicSession.java",,,,12,74,61
File,"OicSessionTest.java",,,,7,50,1
File,"OicTokenResponse.java",,,,9,40,52
File,"OicTokenResponseTest.java",,,,4,76,4
File,"OicUserDetails.java",,,,8,43,1
File,"OicUserDetailsTest.java",,,,8,51,1
File,"OicUserProperty.java",,,,11,57,0
File,"OicUserPropertyTest.java",,,,4,45,0
File,"PluginTest.java",,,,35,759,28
File,"TestRealm.java",,,,23,150,1
File,"WellKnownOpenIDConfigurationResponse.java",,,,23,98,23
File,"WellKnownOpenIDConfigurationResponseTest.java",,,,5,127,10
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.oic",,,,351,2937,368
Public Class,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest",17,87,87,6,127,13
Public Class,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.WellKnownMockRule",4,22,22,4,30,2
Public Constructor,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.WellKnownMockRule.WellKnownMockRule",,,,1,5,0
Protected Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.WellKnownMockRule.after",,,,2,9,0
Protected Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.WellKnownMockRule.before",,,,1,11,0
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testConfig",,,,1,24,2
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testExport",,,,3,17,1
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testMinimal",,,,1,21,2
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testMinimalWellKnown",,,,1,23,1
Public Class,"org.jenkinsci.plugins.oic.DescriptorImplTest",13,56,56,10,133,8
Private Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.configureWellKnown",,,,1,12,3
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckAuthorizationServerUrl",,,,1,10,1
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckEndSessionEndpoint",,,,1,13,1
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckPostLogoutRedirectUrl",,,,1,11,1
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckScopes",,,,1,15,0
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckTokenServerUrl",,,,1,10,1
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.doCheckUserNameField",,,,1,11,1
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.setUp",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.testOicSecurityRealmDescriptorImplAuto",,,,1,19,0
Public Method,"org.jenkinsci.plugins.oic.DescriptorImplTest.testOicSecurityRealmDescriptorImplManual",,,,1,21,0
