Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteDryRunMojo.java",,,,16,104,25
File,"AbstractRewriteMojo.java",,,,64,303,6
File,"AbstractRewriteRunMojo.java",,,,32,153,32
File,"ArtifactResolver.java",,,,8,57,0
File,"BadSpacing.java",,,,0,3,0
File,"BasicIT.java",,,,8,56,2
File,"ConfigurableRewriteMojo.java",,,,21,155,19
File,"ConfigureMojo.java",,,,10,98,5
File,"ConfigureMojoIT.java",,,,2,22,0
File,"ConfigureMojoITNoActiveRecipe.java",,,,2,26,0
File,"CycloneDxBomMojo.java",,,,4,49,4
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"InitMojo.java",,,,13,108,6
File,"InitMojoIT.java",,,,2,23,0
File,"MavenLoggingMeterRegistry.java",,,,44,184,16
File,"MavenMojoProjectParser.java",,,,76,441,48
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,104,2
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"RecipeDescriptorTree.java",,,,17,64,8
File,"RecipeDescriptorTreePrompter.java",,,,15,79,9
File,"RemoveMojo.java",,,,4,53,5
File,"RemoveMojoIT.java",,,,2,18,0
File,"ResourceParser.java",,,,35,177,0
File,"RewriteCycloneDxIT.java",,,,3,66,0
File,"RewriteDiscoverIT.java",,,,16,77,0
File,"RewriteDiscoverMojo.java",,,,20,108,21
File,"RewriteDryRunIT.java",,,,8,42,0
File,"RewriteDryRunMojo.java",,,,0,10,21
File,"RewriteDryRunNoForkMojo.java",,,,0,8,6
File,"RewriteRunIT.java",,,,4,29,0
File,"RewriteRunMojo.java",,,,0,10,21
File,"RewriteRunNoForkMojo.java",,,,0,8,21
File,"SanitizedMarkerPrinter.java",,,,2,15,4
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,417,2505,279
Public Class,"org.openrewrite.maven.AbstractRewriteDryRunMojo",18,0,0,16,92,10
Public Method,"org.openrewrite.maven.AbstractRewriteDryRunMojo.execute",,,,16,85,2
Lambda Method,"org.openrewrite.maven.AbstractRewriteDryRunMojo.execute.(lambda_expr_1)",,,,2,7,0
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",55,82,75,47,265,6
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer",7,30,30,17,54,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.ResultsContainer",,,,6,17,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getFirstException",,,,9,24,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getProjectRoot",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.isNotEmpty",,,,1,3,0
Private Method,"org.openrewrite.maven.AbstractRewriteMojo.collectBasePaths",,,,4,12,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,5,22,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext",,,,2,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext.(lambda_expr_1)",,,,1,4,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getBaseDir",,,,3,14,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeClassloader",,,,4,20,0
Public Static Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor",,,,3,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_2)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults",,,,18,86,5
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_1)",,,,1,3,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_2)",,,,2,6,1
Private Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipe",,,,6,19,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipe.(lambda_expr_1)",,,,2,6,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipesThatMadeChanges",,,,2,8,0
Public Class,"org.openrewrite.maven.AbstractRewriteRunMojo",24,0,0,32,140,17
Public Method,"org.openrewrite.maven.AbstractRewriteRunMojo.execute",,,,19,92,8
Private Static Method,"org.openrewrite.maven.AbstractRewriteRunMojo.writeAfter",,,,13,46,4
Public Class,"org.openrewrite.maven.ArtifactResolver",16,22,22,8,43,0
Public Constructor,"org.openrewrite.maven.ArtifactResolver.ArtifactResolver",,,,1,5,0
Public Method,"org.openrewrite.maven.ArtifactResolver.createArtifact",,,,2,7,0
Public Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies",,,,5,25,0
Lambda Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies.(lambda_expr_1)",,,,1,1,0
Public Class,"org.openrewrite.maven.BasicIT",8,0,0,8,51,2
Method,"org.openrewrite.maven.BasicIT.groupid_artifactid_should_be_ok",,,,1,8,0
Method,"org.openrewrite.maven.BasicIT.null_check_profile_activation",,,,2,15,0
Lambda Method,"org.openrewrite.maven.BasicIT.null_check_profile_activation.(lambda_expr_1)",,,,1,1,0
Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties",,,,3,11,1
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties.(lambda_expr_2)",,,,1,1,0
Method,"org.openrewrite.maven.BasicIT.resolves_settings",,,,2,12,1
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_settings.(lambda_expr_1)",,,,1,1,0
Public Abstract Class,"org.openrewrite.maven.ConfigurableRewriteMojo",15,92,92,21,149,19
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getActiveRecipes",,,,4,19,0
