Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractDriver.java",,,,0,3,0
File,"AbstractServlet.java",,,,3,20,0
File,"ClientUniRegistrar.java",,,,73,267,23
File,"CreateRequest.java",,,,13,73,6
File,"CreateServlet.java",,,,10,49,3
File,"CreateServlet.java",,,,9,44,4
File,"CreateState.java",,,,6,34,6
File,"DeactivateRequest.java",,,,13,72,6
File,"DeactivateServlet.java",,,,9,44,4
File,"DeactivateServlet.java",,,,10,50,3
File,"DeactivateState.java",,,,6,35,6
File,"DecryptionRequest.java",,,,16,87,9
File,"DecryptionResponse.java",,,,8,43,9
File,"Driver.java",,,,1,19,0
File,"DriverConfigs.java",,,,9,47,0
File,"DummyExtension.java",,,,2,19,0
File,"Extension.java",,,,14,60,0
File,"ExtensionStatus.java",,,,7,33,0
File,"HttpBindingServerUtil.java",,,,7,30,0
File,"HttpDriver.java",,,,63,232,18
File,"InitServlet.java",,,,10,39,0
File,"JsonObject.java",,,,5,25,6
File,"LocalUniRegistrar.java",,,,73,210,31
File,"MethodsServlet.java",,,,7,38,4
File,"PropertiesServlet.java",,,,9,41,4
File,"PropertiesServlet.java",,,,7,37,4
File,"RegistrationException.java",,,,16,70,6
File,"Request.java",,,,0,10,0
File,"ServletUtil.java",,,,7,32,0
File,"SetSecretDecryptionResponses.java",,,,7,24,0
File,"SetSecretSigningResponses.java",,,,7,23,0
File,"SetState.java",,,,3,11,0
File,"SetStateAction.java",,,,5,16,0
File,"SetStateActionDecryptPayload.java",,,,10,31,0
File,"SetStateActionGetVerificationMethod.java",,,,8,33,0
File,"SetStateActionSignPayload.java",,,,10,31,0
File,"SetStateFailed.java",,,,7,24,1
File,"SetStateFinished.java",,,,7,26,1
File,"SetStateWait.java",,,,7,21,0
File,"SigningRequest.java",,,,16,87,9
File,"SigningResponse.java",,,,8,43,9
File,"State.java",,,,14,76,9
File,"UniRegistrar.java",,,,0,18,0
File,"UpdateRequest.java",,,,17,100,6
File,"UpdateServlet.java",,,,10,50,3
File,"UpdateServlet.java",,,,9,44,4
File,"UpdateState.java",,,,6,34,6
File,"VerificationMethodTemplate.java",,,,16,88,9
File,"WebAppConfig.java",,,,20,97,7
File,"WebUniRegistrar.java",,,,20,69,3
