CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
234e713b1302f4608906db95e85436aa09aa4da3,Current commit,10.0,29.0,27.0,9.0,14021.0,470.0
0822aa90a9fa99ddcb4cfb109c707c36995c8892,Previous commit,10.0,29.0,27.0,9.0,14021.0,470.0
c87932bced1d6bce61cffd0e243e425c0b75c9fe,Current commit,11.0,27.0,25.0,11.0,29140.0,2844.0
e469193b8f3cc0006f6b8f008e59fc1081258fca,Previous commit,11.0,26.0,24.0,11.0,28884.0,2844.0
0d129a0ccdd076a06a3e5813b8e93e1b5f729914,Current commit,11.0,24.0,22.0,11.0,41125.0,4246.0
0c6fa6e78b3425af3eb4b605e88d531bfcee243e,Previous commit,11.0,24.0,22.0,11.0,40993.0,4257.0
b467a985d49c522f3bf76194b9e4190f66660c20,Current commit,11.0,24.0,22.0,10.0,42911.0,4142.0
57594f19a6856d1f35f3e3c2515ce4aab646f919,Previous commit,11.0,24.0,22.0,11.0,42313.0,4097.0
0e27db7540da88f6c801a6d18afc54a954ec69c9,Current commit,11.0,27.0,25.0,11.0,27683.0,2842.0
e0daec49da5bd845d5f703ec1d3b101bc0c5cb9d,Previous commit,11.0,27.0,25.0,11.0,27518.0,2820.0
d3a989c9dd6f7b131384c4787dcfc7fa069399d5,Current commit,11.0,26.0,24.0,11.0,33732.0,3353.0
a0c619d868ab1df40836ec046269cddb66407df3,Previous commit,11.0,26.0,24.0,11.0,33732.0,3353.0
c8eb6b8f73a4738c89526b32c01a7706a1fde4c1,Current commit,11.0,29.0,25.0,6.0,1179.0,139.0
975067762c72928d0a74c3772e87c647c4e1b0d5,Previous commit,11.0,29.0,25.0,6.0,1106.0,138.0
bd49b300f435f4890e3b74c384850468c7ab4c58,Current commit,9.0,41.0,38.0,7.0,3335.0,396.0
f23418dcd7410a7b1201e94870ebbe45f09f9979,Previous commit,9.0,41.0,38.0,7.0,3324.0,396.0
41f9c52f7cd6a219b97c960dc156ec1a912764df,Current commit,11.0,26.0,24.0,11.0,34148.0,3489.0
858e5a253fc28f23cf8ebd314b72ba044ccf7b7e,Previous commit,11.0,26.0,24.0,11.0,34148.0,3489.0
2943ff9d4bd4ab8d1343218f42ab6a6781db4644,Current commit,11.0,23.0,20.0,10.0,48329.0,5111.0
962a255b60fbc5b824ac7df5ba7fad206b837696,Previous commit,11.0,23.0,20.0,10.0,48329.0,5111.0
f8a2f2b7689ef82366f5466f5789c91e931add8d,Current commit,11.0,23.0,21.0,10.0,49201.0,5118.0
463caf21550d1f12055245d639926be21f7e27f6,Previous commit,11.0,23.0,21.0,10.0,49201.0,5118.0
3e5b9b85a47fe7d342e53384a0517bcabe5c7e57,Current commit,10.0,26.0,23.0,5.0,1108.0,138.0
10533f8f64102d6240ea345e7562d6d38d76237c,Previous commit,10.0,26.0,22.0,5.0,1063.0,137.0
5e3fa9e0c547dbdc89aa1614776ea3b394e07d06,Current commit,13.0,42.0,38.0,10.0,2526.0,229.0
aa5b027bed381e0f5db27cc7057c8be06824c7b3,Previous commit,13.0,42.0,38.0,10.0,2526.0,229.0
f23418dcd7410a7b1201e94870ebbe45f09f9979,Current commit,9.0,41.0,38.0,7.0,3324.0,396.0
