CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
a9c79170bf8dc36c86f7048650b906cb624eaa94,Current commit,15.0,44.0,34.0,9.0,292,57
9e9717b4cce5b0605e25f956d876aa2a0869c08a,Previous commit,1.0,0.0,0.0,1.0,4,0
7b4ca2ab131b34134caa87f63a85eaf7e01740d8,Current commit,15.0,38.0,34.0,9.0,565,62
b862f78b51cd68f53d803ba1b5df08ddb0ce4108,Previous commit,16.0,44.0,34.0,9.0,310,57
b99cb54b55e3c4b71a4d37d027c61b687432c124,Current commit,13.0,32.0,27.0,8.0,1031,88
2911b0a860627967ad46bacc7eadda5c9b35d8b0,Previous commit,13.0,30.0,25.0,8.0,944,92
71e79626e9950c679d36fd21953442b7bc1a7730,Current commit,11.0,27.0,22.0,7.0,1146,196
96e059668fdb022a2c6740f2911696310413fa64,Previous commit,13.0,32.0,27.0,8.0,1089,104
0d7b7377f55644a355990da29e352371622c683b,Current commit,5.0,26.0,26.0,6.0,9279.0,19174.0
f41e1de505b27039e10c6a67f20962adbda8579a,Previous commit,5.0,26.0,26.0,6.0,9279.0,19174.0
8d23e09be9cf02de79a7190fded8873a4aec3511,Current commit,5.0,26.0,26.0,6.0,9436.0,19220.0
6ee9927d312355be3a0d8a34baba34b6f4955faf,Previous commit,5.0,26.0,26.0,6.0,9436.0,19220.0
d33ebbe7d634effe0fc04224907855873c23679c,Current commit,5.0,26.0,26.0,6.0,9436.0,19220.0
8d23e09be9cf02de79a7190fded8873a4aec3511,Previous commit,5.0,26.0,26.0,6.0,9436.0,19220.0
e568854d034af815cd1dd8e70001776cfc5d1cf0,Current commit,6.0,27.0,27.0,7.0,11439.0,19198.0
17c3647a1e17b9a381962c3ef1db8940d10b0319,Previous commit,6.0,27.0,27.0,7.0,11439.0,19198.0
7443be8a8dbd4964395050838801796d2dbee54a,Current commit,11.0,26.0,21.0,7.0,1205,208
5a5925349ffd7697a1a61f82cafc91d790e52c97,Previous commit,11.0,26.0,21.0,7.0,1199,208
