CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
551e5549aac3007fa8efdddb4c65f61a3db2e2f0,Current commit,16.0,46.0,39.0,63.0,378929.0,172020.0
5b684d92a58752bbaaa4d672257f903ebc7a963d,Previous commit,16.0,46.0,39.0,63.0,378347.0,171818.0
b92ead9e1dd5e843514dd6b4bbf8af3fe0a74f1c,Current commit,16.0,46.0,39.0,63.0,380395.0,172594.0
8ef8aff9021242d407a2fc2ea2624a6b80e3ab00,Previous commit,16.0,46.0,39.0,63.0,380360.0,172557.0
38bef422eb67fb2381aaa4cc17bef49386a4430f,Current commit,16.0,46.0,39.0,63.0,381977.0,175038.0
c366039b428a1117d4e6699a6e3feaefe282a20f,Previous commit,16.0,46.0,39.0,63.0,381619.0,174310.0
105c7a9b7ac1a77004a3b8308c4527380abc38b6,Current commit,16.0,46.0,40.0,63.0,382141.0,175204.0
38bef422eb67fb2381aaa4cc17bef49386a4430f,Previous commit,16.0,46.0,39.0,63.0,381977.0,175038.0
205480e58ecbcf412304b29c1180bf8611d632d4,Current commit,16.0,46.0,40.0,63.0,382888.0,175466.0
a50fc5b1f00a6e4782119f25d58af343e914c61e,Previous commit,16.0,46.0,40.0,63.0,382758.0,175403.0
2be073b00787a788890b7a5c0308d0da1f70ccca,Current commit,17.0,46.0,39.0,63.0,383448.0,175569.0
2cb0207938c671202528184f661d9f40c2730412,Previous commit,16.0,46.0,40.0,63.0,383156.0,175710.0
6cf34d7548a16947506ed95bb03619f670cb534f,Current commit,17.0,46.0,39.0,63.0,383721.0,175829.0
2785199553eb7b7a96167a058b8249a682cb4cff,Previous commit,17.0,46.0,39.0,63.0,383697.0,175813.0
7501f4886c93b3e27907e39492292089789bce6e,Current commit,16.0,46.0,40.0,63.0,385296.0,176246.0
38685866685ede7806b1ab59f97f6928cb802f09,Previous commit,16.0,46.0,40.0,63.0,385235.0,176239.0
f0c52156938f0acd1873e5b914306d740a83b7be,Current commit,16.0,46.0,39.0,62.0,376885.0,171267.0
8e827796a61d165e056ec8dcc9ba2d507e37d1b8,Previous commit,16.0,46.0,39.0,62.0,376856.0,171338.0
b7adc42c267720fe725588279130a46db8022cf9,Current commit,16.0,46.0,39.0,63.0,381742.0,172834.0
560ae01c43eddbd3a948688332d4caf6448c19e3,Previous commit,16.0,46.0,39.0,63.0,380272.0,174070.0
bc605dd2773c34271f80b4abe385d25fc395fd83,Current commit,16.0,46.0,39.0,63.0,380747.0,172966.0
23327682c2e9ac7cd00bf47dc361ec862aef8348,Previous commit,16.0,46.0,39.0,63.0,380747.0,172966.0
