CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
b9340a7819a5e6ef94588911b80c0ccc060eef6e,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
7b8c07f862fd6be0136fe281799a66eba797a557,Previous commit,8.0,28.0,26.0,4.0,248.0,0.0
d295d2ed60ff19cb876454d3a36b5c0419864c29,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
6bfd3e8f47a042b98050810a458973ac0ba85949,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
a58a8dbff6c9dc97809280b920348a5918d2874c,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
d295d2ed60ff19cb876454d3a36b5c0419864c29,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
bf4f5291fcf678bf48871bdd773f33b6e11844c7,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
40247678434aeab9b2f43a9be0dc0a4ec7d4cf6c,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
2de19d474fdd4b41fec5cb0fcf2c520858f6d71d,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
bf4f5291fcf678bf48871bdd773f33b6e11844c7,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
653a04fd6bbbc4fe16087fcbf095893a396a49ad,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
eee9d26b45d93500875d9cd6ac5e7dd9c7d774b7,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
530b93f070c497d03eb3dbf1f4ded6a7c8cc768b,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
653a04fd6bbbc4fe16087fcbf095893a396a49ad,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
affc742f933939778a346723a3f135bf8966cec0,Current commit,8.0,41.0,36.0,10.0,944.0,26.0
bc7ec61370fdfb01ed214f34f6b01df790d8901f,Previous commit,8.0,41.0,36.0,10.0,944.0,26.0
e62d39dc6b706eba8822d2d2f3775ea1217a9aee,Current commit,8.0,42.0,38.0,10.0,1042.0,27.0
741e4d83d8b0a59dbbd8050783a2cbb08346aa6c,Previous commit,8.0,42.0,38.0,10.0,1032.0,26.0
1f59b904a3160ff51418406f6938985209c6ebb4,Current commit,8.0,42.0,38.0,10.0,1059.0,29.0
9f3784865f95e0cc8f797a44fc6df4918475e133,Previous commit,8.0,42.0,38.0,10.0,1042.0,27.0
636e93b1ecaab6968efff4b4292dedf6b9b06a94,Current commit,8.0,42.0,38.0,10.0,1080.0,29.0
2969bb8ab4d698f95e54bb3ac9627f31d17a3877,Previous commit,8.0,42.0,38.0,10.0,1059.0,29.0
e2ccc5c0700a1fd7e172339d0093cc8863824829,Current commit,8.0,42.0,38.0,10.0,1080.0,29.0
b78dd3ddb5b43e3e310246b2dfac4d9331a0d143,Previous commit,8.0,42.0,38.0,10.0,1080.0,29.0
22d54d23a397e6ffe53a0a2b43b91d619ee0d949,Current commit,8.0,42.0,38.0,10.0,1080.0,29.0
0dbb7e10b3e63b0dc8bc18e58fdc1dadcf8cde04,Previous commit,8.0,42.0,38.0,10.0,1080.0,29.0
cbc4f860b960018201d5797d739b621cd945faf8,Current commit,8.0,42.0,38.0,10.0,1080.0,29.0
25473b12f030d2570b6ebbf0d07ab4359a6d490f,Previous commit,8.0,42.0,38.0,10.0,1080.0,29.0
49a392944c937667d6c41c43499585d942b6b395,Current commit,8.0,42.0,38.0,10.0,1080.0,29.0
9dfac7489868537765ab28767fd881f58845cbc7,Previous commit,8.0,42.0,38.0,10.0,1080.0,29.0
10ebd79f8643079eceab7941244c4af160d5c19c,Current commit,8.0,44.0,38.0,10.0,1092.0,29.0
968da6fb4edc9e1044470b6af1366dfa4594eaf7,Previous commit,8.0,44.0,38.0,10.0,1092.0,29.0
1365da5ddff99c305a893d37f663f86584989945,Current commit,8.0,45.0,39.0,10.0,1120.0,29.0
25fb5f49730346426d3d4c758e5e794a602ce665,Previous commit,8.0,45.0,39.0,10.0,1120.0,29.0
24e53fa9da1cb9c724625578ec4f84a5286c85b7,Current commit,8.0,45.0,39.0,10.0,1120.0,29.0
30afb82809bdd91ab22c9a34a77fa3261cadc0a3,Previous commit,8.0,45.0,39.0,10.0,1120.0,29.0
05705717d88a8e289e12b13bd478749d2717e229,Current commit,8.0,45.0,39.0,10.0,1120.0,29.0
e6e1294680c8152fbc6875694484a606b93b8f61,Previous commit,8.0,45.0,39.0,10.0,1120.0,29.0
2f39f9c9b3c01c0f58f18f03319c05c360714dd9,Current commit,8.0,45.0,39.0,10.0,1120.0,29.0
