CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
83110ff7e48f0693d94ee42b30cc9e422d6fa1bb,Current commit,18.0,54.0,51.0,17.0,1757.0,752.0
35a3e132c0da343f73bf799b5785bb2ab8ae0236,Previous commit,18.0,54.0,51.0,17.0,1757.0,752.0
ac778f17663e2056f12dda91b1737f101a8899b8,Current commit,15.0,52.0,49.0,16.0,3481.0,1152.0
f8acc042c2c56fb0a7694bae62b25d64b6b50418,Previous commit,15.0,52.0,49.0,16.0,3481.0,1152.0
f689b2e3b96efdae3472b411f32b2d8af6763ac7,Current commit,13.0,42.0,39.0,14.0,5767.0,1402.0
423cea2b192c57c9570e8db85a85167e3b099e1c,Previous commit,13.0,42.0,39.0,14.0,5767.0,1402.0
df4b255527c3cbdc3db2939fb641f261b13da2b3,Current commit,15.0,52.0,49.0,16.0,3478.0,1152.0
ac778f17663e2056f12dda91b1737f101a8899b8,Previous commit,15.0,52.0,49.0,16.0,3481.0,1152.0
4e5f24b434bd9ea81f60921c27b33daf47cc0b0b,Current commit,15.0,45.0,43.0,15.0,2796.0,844.0
09d84f30335376e037f0a66d8c7975242d090749,Previous commit,18.0,54.0,51.0,17.0,1806.0,755.0
35a3e132c0da343f73bf799b5785bb2ab8ae0236,Current commit,18.0,54.0,51.0,17.0,1757.0,752.0
f7fd25996ebecba5e48be6fb4d119701d647b3f6,Previous commit,18.0,54.0,51.0,17.0,1743.0,746.0
07544fc6902af9a5519f16dec5504f4e3cd8bc18,Current commit,13.0,44.0,41.0,14.0,6173.0,1451.0
6f92807895be059a3ba399de80f7c3e286a5faea,Previous commit,13.0,43.0,41.0,14.0,5828.0,1428.0
0620262aba1c5bde627f529e64a22397e9ff6bcc,Current commit,15.0,52.0,49.0,16.0,3481.0,1158.0
173c3f7684961f8fda3f2c33aa61a054b4e7d9a4,Previous commit,15.0,45.0,43.0,15.0,2836.0,854.0
7b614a0903274a216dae94076fb49aa717eac0e7,Current commit,13.0,42.0,39.0,14.0,5768.0,1402.0
804013cb42519ff51285e191c3a57179c5f9ba7d,Previous commit,13.0,42.0,39.0,14.0,5768.0,1402.0
8cef4399444f5753891d348c2f2429c909b27c78,Current commit,16.0,48.0,44.0,15.0,1404.0,591.0
0ed5bab6e37849d2f3495bc94838eca88d62fa28,Previous commit,18.0,21.0,21.0,14.0,412.0,123.0
