CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
55aa412744818b725334f20cdb02f4f56611b36a,Current commit,16.0,33.0,30.0,12.0,28891.0,3616.0
ed5968c86809488c1b35b2db2cf14c634de3f4c1,Previous commit,16.0,34.0,31.0,13.0,28522.0,3615.0
30682e88d659051983f8759bbf41b5f4c40760ca,Current commit,12.0,23.0,21.0,11.0,31528.0,3316.0
eb8969615c75397be71800642778f38f607563f4,Previous commit,12.0,23.0,21.0,11.0,31663.0,3319.0
535e037897cd5b4c0d023db5d7cb87ccc8a57588,Current commit,13.0,26.0,23.0,12.0,29398.0,3143.0
74a254c943f5756b555636d17ad889b3d06fe037,Previous commit,13.0,26.0,23.0,12.0,29398.0,3143.0
96fc6bf55dd6113ec3f747feb72989990148dcb3,Current commit,13.0,26.0,23.0,12.0,29398.0,3143.0
5b7dce5f6f89e4047f828232dbfe71fbb82f7570,Previous commit,13.0,26.0,23.0,12.0,29398.0,3143.0
89dc9f042694dfe988c631b90a79a05dc2fbd9d7,Current commit,9.0,21.0,19.0,11.0,40181.0,1363.0
d5c318f86d467c835f80577a5293c534d99fca94,Previous commit,9.0,22.0,20.0,11.0,40013.0,1351.0
65fee1f274576c205e2b2e573b2a8880761290e8,Current commit,14.0,30.0,27.0,11.0,32296.0,3398.0
eaa5b52ff041f6158efba8639f3272b3cbc3663c,Previous commit,15.0,30.0,27.0,11.0,32633.0,3401.0
ad64697406cb3041d433db1ce41e09a01d1d0930,Current commit,9.0,26.0,24.0,12.0,28036.0,1086.0
bc249d9647659359a9d7ade7debb830767b6d649,Previous commit,12.0,22.0,20.0,10.0,30481.0,2007.0
792179a6f70506fee66702d9800416f4126a0e2e,Current commit,11.0,31.0,28.0,10.0,17460.0,1801.0
30e42294c77da1b9b286a9a4b9b69180f9a62b74,Previous commit,11.0,31.0,28.0,10.0,17442.0,1818.0
