CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
4787649c831a47ac4637fd489f5b2138c5e5fa62,Current commit,12.0,41.0,39.0,20.0,4129,341
a98aa6de60c4ed4515e3716018a075a59e435d93,Previous commit,13.0,42.0,40.0,22.0,4193,308
8a41ad792ad902aa14ac54a28a47d6f7d4658b55,Current commit,10.0,33.0,32.0,16.0,7886,727
cf818143b9231d9dac8de760708b8bfdc27c9fa0,Previous commit,10.0,32.0,31.0,15.0,7950.0,751.0
2f50a2b4cf6eb59ed066142c77c6fb2faf95bbbd,Current commit,10.0,32.0,32.0,15.0,7185,678
14d40e20276d8923521413465241017bfdc874c0,Previous commit,10.0,32.0,32.0,15.0,7245,654
3475301b7bb9d4728c1253c6c60a87536ef8d54f,Current commit,13.0,41.0,39.0,22.0,4562,344
942f04b2209b4f10d06a73c6a492595a71290ed7,Previous commit,13.0,41.0,39.0,22.0,4563,344
8c9f1d19e96598b779379b767fa2762f9429b945,Current commit,12.0,41.0,39.0,22.0,4549,244
9dc62bac9890e51f9f26741f8d38eefa2baa2585,Previous commit,12.0,41.0,39.0,22.0,4549,244
14d40e20276d8923521413465241017bfdc874c0,Current commit,10.0,32.0,32.0,15.0,7245,654
b9541392eb77306d2208d470ba9c3eab49257874,Previous commit,9.0,33.0,32.0,15.0,7515,678
fd7d9c8319763b926d2021b8e1bb2caee9c88bd3,Current commit,11.0,44.0,42.0,13.0,2139,168
ebf99b47c3d04c17e4cdb5f6b01710cb8914073e,Previous commit,11.0,44.0,42.0,13.0,2139,168
dbf694e598bdfc5e97975b04427a9dc63b6ad54f,Current commit,11.0,42.0,41.0,14.0,2336,101
f6a3dc0483c7375b1e7efe0908bb41fa8b83e74a,Previous commit,11.0,42.0,41.0,14.0,2336,101
4549a1456c8e3cc501fbb83a3d2b9609de4b77c9,Current commit,13.0,44.0,43.0,23.0,3834,272
9291d78dfb5f233a637751cb30129bc20353792b,Previous commit,13.0,44.0,43.0,23.0,3834,272
9d797e8f75c5d68ccc8c59b7c6c0c2a556becc9f,Current commit,13.0,42.0,40.0,22.0,4182,308
cf49fb07ca75049e9a30563e2d200faa95264270,Previous commit,13.0,42.0,40.0,22.0,4182,308
7ded9c6e499fe19e9adad6e86a8de7ec22ba65e9,Current commit,13.0,41.0,39.0,21.0,4554,353
efee1d5944937b6c8627e33ec449e0028c902f50,Previous commit,13.0,41.0,39.0,21.0,4554,353
9b1a1a039814551efebda5d9a6336330d70d1562,Current commit,13.0,38.0,37.0,23.0,5603,452
cc494f7f49a6c7650403f8e1f2bb273568f7350b,Previous commit,13.0,38.0,37.0,23.0,5603,452
ef3ddc25318cccf141ee8f3e096d0b0446c228bb,Current commit,12.0,40.0,39.0,22.0,6252,491
a867cc539c9163707ba010ea710ff7eddb10b1a9,Previous commit,12.0,39.0,38.0,20.0,5034,382
5e52435b130dc4752ea479ff3c2283e716185c65,Current commit,13.0,40.0,38.0,22.0,4571,265
c36f0a250394b28202c233c992e2d2dc786225c8,Previous commit,11.0,39.0,39.0,20.0,6041,427
3edbab0bd21c3eb42417ffa358ef508644260ae0,Current commit,11.0,34.0,34.0,18.0,7276,563
6ee934c7e3f0bad4c0a00789aeed0af7a8b46db0,Previous commit,11.0,34.0,34.0,18.0,7246,562
589f04849d14928aad2e52e867f89c7f2349d893,Current commit,10.0,33.0,32.0,15.0,6864,500
856d29711438a607937dc66ef01adf5c024ed527,Previous commit,10.0,33.0,32.0,15.0,6864,500
ef9cab6162c5bdef14f7fdcc224b7854c39dc851,Current commit,10.0,33.0,32.0,15.0,7450,702
ba664898f72eb9656b134ecfff12e52e8d7f2027,Previous commit,10.0,33.0,32.0,15.0,7588,715
b92069971e3c0ab9ec9ee773499fe0463ea1b44b,Current commit,11.0,44.0,43.0,13.0,2142,167
e1cddb536e5f44fb4f8bf870c7257a94eb350b05,Previous commit,11.0,43.0,41.0,13.0,2186,173
d23e57aab592b3eff9bc1a13bf3a8b1b5d4a6ed4,Current commit,12.0,42.0,41.0,15.0,2414,106
1e97bd6408ffefbbfbb99879f89f131c1df3cd18,Previous commit,12.0,42.0,41.0,15.0,2414,106
3ab261201d4909c4c0f88d6e6ce1466912069df1,Current commit,13.0,46.0,45.0,17.0,3188,176
d6b7583a274bfeba93705762361fc601f8f19364,Previous commit,13.0,46.0,45.0,17.0,3188,176
53c467cb35741d9c2e6d59d1110918e2a29c04ed,Current commit,13.0,46.0,44.0,23.0,3753,265
eb4d9e69a21bbfa26f5bf103a8caf6330a73ffb1,Previous commit,13.0,46.0,44.0,23.0,3753,265
b3173da473b3c84b214ca381df36154923ea436d,Current commit,13.0,46.0,44.0,23.0,3789,270
6fe5792e381eae10b6c00a7c5ae44670d7d125f7,Previous commit,13.0,46.0,44.0,23.0,3786,270
413727f74e3031d45b639f9574d7176f29d1b841,Current commit,13.0,44.0,43.0,23.0,3834,272
57c96ada2a2d6af19ad1ab9adbb97fc5124781d4,Previous commit,13.0,44.0,43.0,23.0,3834,272
79a88022a9bd689b43fb2394b2cf6080a6c47317,Current commit,13.0,42.0,40.0,22.0,4186,308
846ee7b45dc7b597e124df1caaee4128ce36ebd4,Previous commit,13.0,42.0,40.0,22.0,4186,308
e9e3af2c1ca622b4453e94ae020393ddb00297c6,Current commit,12.0,41.0,39.0,20.0,4129,341
67c92489d6e32114203833498c72dc6771ca885f,Previous commit,12.0,41.0,39.0,20.0,4129,341
88e11bb3a0e74b14dc582153fefaf2a5790f7cc3,Current commit,12.0,41.0,39.0,22.0,4549,244
