CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
693be024d163cf85e3fd7906d9591ac851a5b115,Current commit,8.0,22.0,19.0,6.0,2384.0,360.0
db3ca37a28775e8d5dd47dd8f766f477f477ddce,Previous commit,8.0,22.0,19.0,6.0,2357.0,360.0
7e233f115b8ca62adb8d439313b9d3a8385c298a,Current commit,8.0,22.0,19.0,6.0,2384.0,360.0
693be024d163cf85e3fd7906d9591ac851a5b115,Previous commit,8.0,22.0,19.0,6.0,2384.0,360.0
bd2692279ce39a8707eefad61e1b15e785474432,Current commit,7.0,20.0,17.0,6.0,2490.0,387.0
efddd20d87ae346b2b50f606fe819be6aa47bc93,Previous commit,7.0,20.0,17.0,6.0,2499.0,387.0
b58ddeaf0c09f61e5954668256fb93c2937b247f,Current commit,7.0,21.0,18.0,6.0,2466.0,381.0
bd2692279ce39a8707eefad61e1b15e785474432,Previous commit,7.0,20.0,17.0,6.0,2490.0,387.0
d58be7eb3c6cdbf57b933ad41918563473d15d12,Current commit,7.0,21.0,18.0,6.0,2528.0,381.0
7af16ba6824d7d8a1da91c43d1d7a6aeea960cf7,Previous commit,7.0,21.0,18.0,6.0,2517.0,381.0
4b3130c49dce729dac09d74e9f33f681487ca640,Current commit,7.0,21.0,18.0,6.0,2590.0,384.0
69a1ba085f1c6b25a6be8ea2dca1e0c6413271ef,Previous commit,7.0,21.0,18.0,6.0,2590.0,384.0
3304df2fec4b032353355f75bde5f55aa8b6e95b,Current commit,7.0,19.0,16.0,6.0,2736.0,407.0
7271d1f42321ed1e701d7bd2ce1e8d12c81d258a,Previous commit,7.0,19.0,17.0,6.0,2720.0,404.0
3a58e9fe448312706f4081a0fb816023f9a84123,Current commit,7.0,19.0,16.0,6.0,2823.0,407.0
0e0e22dffc0b94fce94963a78a148e6ee012a06e,Previous commit,7.0,19.0,16.0,6.0,2823.0,407.0
85577f509526b8c6293377e4400b397ff882276a,Current commit,7.0,19.0,16.0,6.0,2827.0,407.0
0189dc1c5f3f5f9559607e65769f7dc3ffbcb417,Previous commit,7.0,19.0,16.0,6.0,2827.0,407.0
defcc0fa61d880662d6f6c7927fc65264435a0a5,Current commit,7.0,19.0,16.0,6.0,2897.0,425.0
3eba9c73192e8d5893deb0e5f4416cd85f5e5ad3,Previous commit,7.0,19.0,16.0,6.0,2895.0,425.0
fcf885943a975d1762aa1f08e158db1bbe0037c9,Current commit,7.0,27.0,23.0,7.0,2524.0,545.0
b2067309087057127a397d07488e9dfc8f09bf42,Previous commit,7.0,27.0,22.0,7.0,2403.0,536.0
b6ee96c6a249113757b5115e2570bc9da9bc244f,Current commit,8.0,28.0,23.0,7.0,2577.0,361.0
6c68eda5ede288740d2ab5df0379f9d2f131376b,Previous commit,8.0,28.0,24.0,7.0,2922.0,388.0
