CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
1af8511c1ebd1ba3bb4610a749ef5425ce66c3fb,Current commit,8.0,18.0,11.0,7.0,665,21
e91a15941771bafae2124bce0e88e88addedbce8,Previous commit,8.0,18.0,11.0,7.0,665,21
63071864994b8dfe2d305f17b99ff75015b3de76,Current commit,7.0,16.0,12.0,6.0,6314.0,552.0
8ac6b67e3b8e96430d6ff1be0bd5b625d6d61da6,Previous commit,7.0,16.0,12.0,6.0,6314.0,552.0
df565b8aa9ffeacf96b3df157e7eb59dd2c2e539,Current commit,6.0,17.0,11.0,6.0,3030.0,165.0
abd9656a79ba805fb79044b3234b010de8e75889,Previous commit,8.0,22.0,16.0,7.0,831.0,25.0
47d9a328652f5f67a842ed9ac50594f13fb1ee22,Current commit,8.0,22.0,10.0,8.0,371,5
eeddd8668cdb5851e3e86055eab8a94e2d388559,Previous commit,6.0,16.0,6.0,11.0,266,4
0f372360112ec173bf06ab237238beed961da45c,Current commit,7.0,19.0,12.0,6.0,3419.0,182.0
756fc827fd186596d83ac1f736c465f1da5dbabc,Previous commit,7.0,19.0,12.0,6.0,3421.0,183.0
31b8a4d0128e9507dcad0cd6b2650027defd5846,Current commit,7.0,15.0,11.0,6.0,6510.0,462.0
e9bd4fc2193873b4915376ac8a8cf23b41d60426,Previous commit,7.0,16.0,12.0,6.0,6648.0,559.0
abc71296dcc334769d73e58e4a3f262a951fcd97,Current commit,7.0,17.0,12.0,6.0,5290.0,422.0
14a332c64ce798d1a0e3c6816ff9bd6361b92a7e,Previous commit,7.0,17.0,12.0,6.0,5290.0,422.0
7b432acd5efa4e615be9800bff5a60a7090587f1,Current commit,7.0,18.0,13.0,7.0,6148.0,453.0
49d5df73d3c4d140b5b3da89eb026d1ecc67ffd9,Previous commit,7.0,17.0,12.0,6.0,5287.0,422.0
08f3a0cfef06e72305f72a9c0f7edef2716b8a68,Current commit,8.0,18.0,14.0,7.0,8908.0,920.0
1ec15ff997d20e3de1485cb8e311b55fdeb5061d,Previous commit,8.0,18.0,14.0,7.0,8908.0,920.0
0aaf3f386d868f050aaaa5f74f60be5dc4a9beab,Current commit,8.0,28.0,16.0,9.0,520,9
4baf866be672317b399ef8acd7c9ac2eb4669396,Previous commit,8.0,28.0,16.0,8.0,491,9
dc2b36ae15b6c16078339d21537b7f1e38619628,Current commit,7.0,18.0,12.0,6.0,3594.0,199.0
9dbe57ab58bfa940a39f1b9795b91a0eeb546a14,Previous commit,7.0,18.0,12.0,6.0,3594.0,199.0
6f7da13237dc10d058d9df7c9713927ee14f7f45,Current commit,8.0,18.0,14.0,7.0,8575.0,832.0
0c23c6e7ed40b4a7e54eddcd4902a0733e1a21a4,Previous commit,8.0,17.0,13.0,7.0,8231.0,769.0
73643f9881ad5ac48e111b2567c654a4f51c3c76,Current commit,9.0,22.0,18.0,7.0,19330.0,1428.0
1ff274b89f464a2b3f32a182680e7c3d698fb01f,Previous commit,9.0,23.0,18.0,7.0,19105.0,1403.0
e6fa0cb02dafcb0ac07521060956fc095d08f087,Current commit,9.0,23.0,18.0,7.0,19045.0,1384.0
65ea8fc6c765282b35a2910f2a5e264476ddc903,Previous commit,8.0,18.0,14.0,7.0,8908.0,920.0
