CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
cb04858217f63b3fba4b51d8bf83820ee43553b1,Current commit,13.0,30.0,25.0,12.0,7314.0,3199.0
2ccc4583402ea4745df469a6404924e2d3596a3a,Previous commit,13.0,30.0,25.0,12.0,7337.0,3201.0
94c2521f9213d0d253cd6a3b07333c29706d5368,Current commit,13.0,29.0,24.0,14.0,8299.0,3401.0
41a9129be2d811d06ac0ac8a8e8428ca352e0fa9,Previous commit,13.0,29.0,24.0,14.0,8299.0,3401.0
e4d653954d9834fec33c82f3e40ee906490a5f9c,Current commit,13.0,29.0,24.0,14.0,8299.0,3401.0
94c2521f9213d0d253cd6a3b07333c29706d5368,Previous commit,13.0,29.0,24.0,14.0,8299.0,3401.0
c1a1365dfc28d59c9117e3cee351929aa2809138,Current commit,13.0,29.0,24.0,14.0,8299.0,3401.0
aea5e540262cad63f0864a04db7d5d9c6c14f1df,Previous commit,13.0,29.0,24.0,14.0,8299.0,3401.0
9ef5e9bef6c45891fd5ebff3b213cd47a1d9b14d,Current commit,13.0,29.0,24.0,14.0,8299.0,3401.0
61121b09ba3e5e66b1691efdafd2c6d5da4cede9,Previous commit,13.0,29.0,24.0,14.0,8299.0,3401.0
fcd52bbc8a922b315fb0113a4d583d90b4a09ecc,Current commit,13.0,29.0,24.0,14.0,8306.0,3401.0
8e25c0104bb37fb7953df0e2ed989996eaa3333d,Previous commit,13.0,29.0,24.0,14.0,8306.0,3401.0
8cc9fd1f45973e3cfe27cb8fdf1c8d43193c3b6a,Current commit,13.0,29.0,24.0,14.0,8306.0,3401.0
6f609f987469880f457c06309bb70e5a341dc164,Previous commit,13.0,29.0,24.0,14.0,8306.0,3401.0
a496b9f1f91f3b0cbd1a0782b8913c9e160c2383,Current commit,13.0,29.0,24.0,14.0,8306.0,3401.0
b23e67e646f01e1f7605833f5913e2573d24da09,Previous commit,13.0,29.0,24.0,14.0,8306.0,3401.0
3ef32db21e6a59ee5376b84cc72ad5095f1cff2a,Current commit,14.0,30.0,25.0,13.0,8389.0,3424.0
3814993d3f641ed5c9fd476531bd28b706ce51c5,Previous commit,14.0,30.0,25.0,13.0,8389.0,3424.0
04b66d78555e2473d17f870019d25166661c369e,Current commit,13.0,29.0,24.0,14.0,8306.0,3401.0
8ac085bdd49cb98ca0f7238f307fb561aa539856,Previous commit,13.0,29.0,24.0,14.0,8306.0,3401.0
ff77589dae48fa3028a434b6c5e4375d7fc31300,Current commit,13.0,29.0,24.0,14.0,8306.0,3401.0
0cd37de9a283e6d91580b2f498bfa45c2dc69b64,Previous commit,13.0,29.0,24.0,14.0,8306.0,3401.0
4c9c8f46038d59ea58f476efcffeed0d9d38bf9a,Current commit,14.0,30.0,25.0,13.0,8389.0,3424.0
1b4290db41a51ea1a15eb452eee3e486bd169a59,Previous commit,14.0,30.0,25.0,13.0,8389.0,3424.0
5a31d0dd00f7e8e0f3ff04a29e25a7bdfee8d84f,Current commit,14.0,30.0,25.0,13.0,8389.0,3424.0
