CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
0fd4d6ea7e079c5668cb3e4ce889f9b6059f099e,Current commit,8.0,26.0,20.0,19.0,91257.0,59894.0
b97804ac897c36fa6ea8d721d08c5042824afb22,Previous commit,8.0,26.0,20.0,19.0,91263.0,59886.0
b8c5e8dfe2dc9bae0588abe940da3ebd32761027,Current commit,8.0,23.0,17.0,15.0,108534.0,46515.0
34b8ac90d1633bfa8b2ce7bd2c8390f1d04a7244,Previous commit,8.0,23.0,17.0,15.0,108534.0,46515.0
88f0d80c7660ee8febf38ce2ba594f5c4c918af8,Current commit,8.0,23.0,17.0,15.0,108534.0,46515.0
598b61f27f82268296e824f4b47074b7cdbdee4c,Previous commit,8.0,23.0,17.0,15.0,108534.0,46515.0
10c00742002d45b878a4c2f83d8a342e53c690d2,Current commit,8.0,21.0,15.0,14.0,85929.0,34880.0
299176c2731dfd6ecdc17904efd71f70bd67e61c,Previous commit,8.0,23.0,17.0,15.0,108534.0,46515.0
818d87490d82828d0534cb51470aa7ac4df7e7b1,Current commit,8.0,21.0,15.0,14.0,86052.0,34859.0
2c9975713970476ab3da73878964bd2befde6ac2,Previous commit,8.0,21.0,15.0,14.0,86052.0,34859.0
562db12ddd91339bba7df5cfec89c73fb472203b,Current commit,8.0,21.0,15.0,14.0,86100.0,34867.0
ed810736d0920b9fc86cb57b3ced97e40a547840,Previous commit,8.0,21.0,15.0,14.0,86100.0,34867.0
a89f3d2f7fd7226a3c1330291dc8d9cd23f268a8,Current commit,8.0,21.0,15.0,14.0,86152.0,34867.0
bdbb6ad65c81783a9940d67d6bdc79eea43c400e,Previous commit,8.0,21.0,15.0,14.0,86152.0,34867.0
255c151b1a4a35389c5e3040a99b20c8923b33cb,Current commit,8.0,25.0,19.0,19.0,81814.0,55909.0
da4e0eeb9a76d0153907c314dda45237bcdc7452,Previous commit,8.0,25.0,19.0,19.0,81814.0,55909.0
f3ebb9f5b57c87cd45ea306f3facea0e44478437,Current commit,8.0,21.0,15.0,14.0,86042.0,34867.0
4a762c80bc215dc8c3823e4715dbf0e4256782e0,Previous commit,8.0,21.0,15.0,14.0,86042.0,34867.0
0560c20bd07e7b7c661dfb91bb13c18c601caa0b,Current commit,8.0,22.0,16.0,15.0,96249.0,41189.0
11ecf1bce319aded6a84a958fa81c354802d13fb,Previous commit,8.0,22.0,16.0,15.0,96216.0,41189.0
c5e146359c6b1627b4ad8de59df037c1c6c68f4f,Current commit,6.0,21.0,11.0,17.0,2241.0,379.0
6162e29af2e5e231e743ecaa3fda97a7a3fcd392,Previous commit,6.0,21.0,11.0,17.0,2241.0,379.0
1b0040eebe8646e0a942e58fbc12d3d7ac07e123,Current commit,7.0,21.0,13.0,15.0,4250.0,481.0
7755d51d03e35073028aa2ec822fef3440506001,Previous commit,7.0,21.0,13.0,15.0,4250.0,481.0
256ed15aaf8a3f2f6947044de4e48de662c5eb39,Current commit,7.0,24.0,19.0,16.0,18793.0,9781.0
c575e48056df19b83041e9c556034c25ad520991,Previous commit,7.0,24.0,19.0,16.0,18793.0,9781.0
