CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
c169565880f1ce1e9508b40d000b875f02d942ee,Current commit,9.0,25.0,23.0,11.0,25384,14726
c02265984a07b6e976c9b793168ef613b56532ad,Previous commit,9.0,25.0,23.0,11.0,25304,14689
0dcb3c4f345e4b023e6c37f01ed218fc2fbee52e,Current commit,10.0,26.0,24.0,13.0,53872.0,33167.0
1a67248b927cf19cd93ec1760ccaec0ec2f1601a,Previous commit,10.0,26.0,24.0,13.0,53872.0,33167.0
e24ea1fcbddf4654381bbb37b4310abc204d7a44,Current commit,11.0,27.0,24.0,14.0,68564.0,34296.0
08a283a801585812217c58b6ab2f5fdd0580042d,Previous commit,11.0,27.0,24.0,14.0,68564.0,34296.0
f0e4f2dbc1adc859fb448d364b17a60f65a8b4a0,Current commit,10.0,27.0,24.0,13.0,50593.0,26516.0
07af595cfd6cdb94940ebbd1c74e6c32b19b3e5b,Previous commit,10.0,27.0,24.0,13.0,50649.0,26529.0
5553aeb878d4293f626e8afcf9321a2012572f7a,Current commit,10.0,26.0,24.0,13.0,53872.0,33167.0
1bb987472e6194cadce9da928592bfe0cc9aa3c3,Previous commit,10.0,26.0,24.0,13.0,53872.0,33167.0
5ab221f375ce43042e2e5f45fd16eb3bc13676bc,Current commit,9.0,25.0,23.0,11.0,28091,16172
026db0a61f8505e864549acd9e934dae626b7293,Previous commit,9.0,25.0,23.0,11.0,28091,16172
69d6b375868b94cb977ca9fdfd5aaf2173a3b2aa,Current commit,9.0,26.0,23.0,12.0,30010,16837
e2604ff1f0cd109875cef7a7e5070071582601e4,Previous commit,9.0,26.0,23.0,12.0,30004,16837
b7e87c3b2747f22af060ca2f81c14cf4e9943c40,Current commit,10.0,26.0,24.0,13.0,53880.0,33173.0
0dcb3c4f345e4b023e6c37f01ed218fc2fbee52e,Previous commit,10.0,26.0,24.0,13.0,53872.0,33167.0
e476e966bd46156f8b9e4baf65484390c8959aa2,Current commit,10.0,26.0,24.0,13.0,53880.0,33173.0
b7e87c3b2747f22af060ca2f81c14cf4e9943c40,Previous commit,10.0,26.0,24.0,13.0,53880.0,33173.0
