CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
8f98a7d4a163a91575437b33a838c83845109e65,Current commit,13.0,31.0,27.0,14.0,9300,2940
b5352e26565df87cad343e87590405feb21bcaf4,Previous commit,13.0,31.0,27.0,14.0,9294,2940
3320d79c832c5d88adfeba2ba21366cc65a2d3c5,Current commit,13.0,31.0,27.0,14.0,9300,2940
c86644687976885c2a38412fbb61877115b76272,Previous commit,13.0,31.0,27.0,14.0,9300,2940
482581f574ffc583d490805b3a139cdd96a4fbee,Current commit,12.0,22.0,20.0,10.0,15482.0,4167.0
367cd63fb6e186def8ca3bd724d8a421af264787,Previous commit,12.0,22.0,20.0,10.0,15482.0,4167.0
10b68f64fdd3d71b717e913219723a1823f1b390,Current commit,14.0,29.0,26.0,13.0,8350,2790
5b90051c3c60edf0ec096809481845a03b10d6be,Previous commit,14.0,30.0,26.0,13.0,8316,2783
c16fc54f2a58cd5c5e82e944fcf4452e7c6a0746,Current commit,13.0,31.0,27.0,14.0,9221,2939
a6febc7f046aeed5d27912341029a93e26c349e7,Previous commit,13.0,31.0,27.0,14.0,9221,2939
0dba5d2be81cf061b217da09e1d7898be8f693de,Current commit,13.0,31.0,27.0,14.0,9238,2944
4cd21e21ad9a900d4b90e80b6c781d8db9e28094,Previous commit,13.0,31.0,27.0,14.0,9238,2944
c5d630a877a13298d8fddbdd4ce170162803a528,Current commit,13.0,28.0,25.0,13.0,11094.0,3444.0
dcff445cdf8f2f091008bac904408d42372cae43,Previous commit,13.0,28.0,25.0,13.0,11094.0,3444.0
c5223dea3ec253d24e76f1939501a1a80cfad348,Current commit,12.0,23.0,21.0,11.0,14270.0,3992.0
1f1bacf5c2778cc8a2093b1749388281ad3fb97b,Previous commit,12.0,23.0,21.0,11.0,14274.0,3994.0
facb6019e3ae2f1aea9de0a1b43be1d0c52db6a8,Current commit,13.0,23.0,21.0,11.0,15464.0,4157.0
73085cdc376176ec120a233088c97f77ff1e82b0,Previous commit,13.0,23.0,21.0,11.0,15498.0,4155.0
a231f8eb943227ca0949aad0dd43eaad53589fe9,Current commit,13.0,22.0,21.0,11.0,15183.0,4117.0
f611b0c91fddcce5595acd8c5c53c7f2d6db8604,Previous commit,13.0,22.0,20.0,11.0,15172.0,4117.0
1ca7a88e6052423ee0459c2b89762fa620a33610,Current commit,14.0,30.0,26.0,13.0,7948,2672
7c6491ddde808b929792659575480716528b4f00,Previous commit,14.0,30.0,26.0,13.0,7948,2672
461d2dd6fad6d065e80387d4c1ba1676f687b64d,Current commit,14.0,30.0,26.0,13.0,7956,2678
f877805056437cb61356808a1160d1233c3d9312,Previous commit,14.0,30.0,26.0,13.0,7956,2678
157c14a2859fb2886476afa09674d5c7dd232a71,Current commit,14.0,30.0,26.0,13.0,8301,2782
49660ae7108d292f710a361d7cbf0dc3a928686b,Previous commit,14.0,30.0,26.0,13.0,8296,2782
dc9972026956bc7fbb598185ac5107c58618fc50,Current commit,13.0,29.0,26.0,13.0,10259.0,3309.0
efb6807df04738080ceec042a05ab20a3a599717,Previous commit,13.0,29.0,26.0,13.0,10259.0,3309.0
6cdc1cdf9ee3ee85dca46e3ac260247098ff7f0f,Current commit,13.0,28.0,25.0,13.0,10382.0,3356.0
dc9972026956bc7fbb598185ac5107c58618fc50,Previous commit,13.0,29.0,26.0,13.0,10259.0,3309.0
1464e379e8f45153b40701160cbc481f25422a9c,Current commit,13.0,28.0,26.0,13.0,10389.0,3395.0
9bd5bae03184777cd9280b8bced78793f39699b1,Previous commit,13.0,28.0,25.0,13.0,10504.0,3420.0
95a6d8232a460bd9fa046628eb39245a240df3a7,Current commit,13.0,27.0,25.0,13.0,10776.0,3425.0
5862d71f777f46a4b131e3d198ca88ebf3b85890,Previous commit,13.0,27.0,25.0,13.0,10776.0,3425.0
dae6ef31fc5152d65f5543f61f1c911fcb0dbd38,Current commit,12.0,24.0,22.0,11.0,13562.0,3912.0
568d23a66e1e7126c93aede653d409e98529ab9a,Previous commit,12.0,24.0,22.0,11.0,13562.0,3912.0
155e2a1b61721311414edb53dcf41c619729a517,Current commit,12.0,23.0,21.0,11.0,14192.0,4016.0
3b7b332c6a98c2ecb1a806747436f19bce5a66d1,Previous commit,12.0,23.0,21.0,11.0,14103.0,4010.0
94a6ab84a77f0b93b87de6fd50225fb9829fe456,Current commit,12.0,23.0,21.0,11.0,14192.0,4016.0
75df3ccffeb1c3453369dbea816aad7530064538,Previous commit,12.0,23.0,21.0,11.0,14192.0,4016.0
a30fe29cc919afbd6650371cb995050ebdfef26a,Current commit,12.0,23.0,21.0,11.0,14302.0,4005.0
3e970728b46198aa898e507963cc6da27d5ce8cf,Previous commit,12.0,23.0,21.0,11.0,14287.0,3990.0
fde3de7a77df9d68b04615d5518b9275f08e3fa6,Current commit,12.0,23.0,21.0,11.0,14302.0,4005.0
a30fe29cc919afbd6650371cb995050ebdfef26a,Previous commit,12.0,23.0,21.0,11.0,14302.0,4005.0
978d4fbb29402b600eccce24e46f49f240d1197e,Current commit,12.0,23.0,21.0,11.0,14740.0,4134.0
a646527b07c0f8e7ab1fdb283a07cae15f8474c4,Previous commit,12.0,23.0,21.0,11.0,14659.0,4128.0
