CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
5c6e0fd7d07a3ee26995b2d5014146886be33e85,Current commit,20.0,55.0,54.0,19.0,1778.0,837.0
5cd09f7eef3aee3c495c5b62c7eb2bc95a39062b,Previous commit,20.0,55.0,54.0,19.0,1778.0,837.0
11d379672a4afc9c05f0cd6212693d4286ea4939,Current commit,20.0,55.0,54.0,19.0,1778.0,837.0
8055551387d1070bb1cba34d61003d581c5b001e,Previous commit,20.0,55.0,54.0,19.0,1778.0,837.0
0f6a04954df81d7c3ecc563409e1b98ee0a3dfa5,Current commit,20.0,55.0,54.0,19.0,1778.0,837.0
4154875402cd22810e44c2074985bebc97264a14,Previous commit,20.0,55.0,54.0,19.0,1778.0,837.0
2126d05d0b40592082bf5ded79e6d5a9bdaf0de9,Current commit,18.0,47.0,44.0,17.0,1249.0,658.0
7faa50c3acb36d39878226452e79c3292608a54c,Previous commit,18.0,47.0,44.0,17.0,1249.0,658.0
e8e8869125226aedd705bf78a2cdff098c066331,Current commit,19.0,47.0,44.0,18.0,1300.0,675.0
869072db9dd352e499cad51a31cf2544965bf994,Previous commit,19.0,47.0,44.0,18.0,1300.0,675.0
85f11573c0d81414ef556c6da3768efbca2bcb8f,Current commit,19.0,47.0,44.0,18.0,1312.0,675.0
053e64ff6c0fb36c62623019bf2df24225a3ad56,Previous commit,19.0,47.0,44.0,18.0,1312.0,675.0
fc5302730e0ed15e2afc202c852ffd5732e3e1f2,Current commit,19.0,47.0,44.0,18.0,1312.0,675.0
30be593ba50606e049ef8bf0b8c33239adfefc9f,Previous commit,19.0,47.0,44.0,18.0,1312.0,675.0
564bb49dcc6889790f3ec9d3d48b8abf8ebdbe95,Current commit,19.0,47.0,44.0,18.0,1324.0,679.0
896d32b2851a99d614ff7490fe2850b881483131,Previous commit,19.0,47.0,44.0,18.0,1324.0,679.0
434dd99ede6d26e7dc1d943ccba80af254cb82d5,Current commit,19.0,47.0,44.0,18.0,1324.0,679.0
627f41b2bd2c5c12974f7fe8b4240ad276b552bb,Previous commit,19.0,47.0,44.0,18.0,1324.0,679.0
41b3f36b0e56f118c76969bcb4e2ed2975f7104f,Current commit,19.0,47.0,44.0,18.0,1325.0,679.0
291be1b61168622f4bfb992917ebb24ac2e2650d,Previous commit,19.0,47.0,44.0,18.0,1325.0,679.0
8dbe6d65d7df56aa8164d20d12716f12b3a9fd53,Current commit,19.0,47.0,44.0,18.0,1325.0,679.0
41b3f36b0e56f118c76969bcb4e2ed2975f7104f,Previous commit,19.0,47.0,44.0,18.0,1325.0,679.0
6dd2d6cdfa7a62c6da8c4282e4a87e5ded0a88e6,Current commit,19.0,47.0,44.0,18.0,1327.0,679.0
5e3570a9087ee91f6799b9dff787395b7643dca6,Previous commit,19.0,47.0,44.0,18.0,1327.0,679.0
2131394ec43741b81c7cbb168ee1f47409ae7119,Current commit,19.0,47.0,44.0,18.0,1327.0,679.0
6dd2d6cdfa7a62c6da8c4282e4a87e5ded0a88e6,Previous commit,19.0,47.0,44.0,18.0,1327.0,679.0
d7fd4fc7916d2f18bb64abc8f5da82cfac50e861,Current commit,19.0,47.0,44.0,18.0,1327.0,679.0
f738560497b38bbc7a659fd0444a061487fa0511,Previous commit,19.0,47.0,44.0,18.0,1327.0,679.0
146cf6c1455b8475727d6122f01c27b7d857ba5a,Current commit,19.0,47.0,44.0,18.0,1327.0,679.0
d7fd4fc7916d2f18bb64abc8f5da82cfac50e861,Previous commit,19.0,47.0,44.0,18.0,1327.0,679.0
96a9ef54a1c01729f07f4e80233ea3c0877702e6,Current commit,18.0,43.0,41.0,14.0,1620.0,856.0
341b5bdfb94eabcf978beb320d87faf0834e8537,Previous commit,18.0,43.0,41.0,14.0,1620.0,856.0
bd269ad9fc99334b4c6ac39c9ed0d6da76073445,Current commit,18.0,43.0,41.0,14.0,1620.0,856.0
96a9ef54a1c01729f07f4e80233ea3c0877702e6,Previous commit,18.0,43.0,41.0,14.0,1620.0,856.0
4f2cbbc2158e5aed1b031bee40d558e9f3e6b04d,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
516b1d142bc20d2cd2b3b397506f70b6677660b1,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
a0fba5042e12a945a1beb7a6a90a5f2f57411c43,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
531ef6cc81d0cd56dc09b1f57f37f13373d20c1b,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
b6e2193c1c2f6115add284adfb846e804d5d0bc1,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
a0fba5042e12a945a1beb7a6a90a5f2f57411c43,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
21849565896651489709284205722b57c24eb026,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
b6e2193c1c2f6115add284adfb846e804d5d0bc1,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
f52808a1481849aa6ce40e42d5bf2b1ad3e0971c,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
5a27c2c7c7c800294143a15f8c675421ad2f57ee,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
8c5f2d0d315af55bd833c553003baead9582a0e3,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
f52808a1481849aa6ce40e42d5bf2b1ad3e0971c,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
ad4081aef7fdac647e5366e9cf3a175f766de55e,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
8c5f2d0d315af55bd833c553003baead9582a0e3,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
08bbe8521d7173b0f19015ddca0307edf7b6a57f,Current commit,18.0,43.0,41.0,14.0,1635.0,870.0
ad4081aef7fdac647e5366e9cf3a175f766de55e,Previous commit,18.0,43.0,41.0,14.0,1635.0,870.0
a15fdfa28cdf48137f317195821d871a5343edb2,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
38814747516a3d2d001f7700f2b5341c79382a92,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
89dcd141c2f192d6bc7f3c51be2b958c964e749d,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
a15fdfa28cdf48137f317195821d871a5343edb2,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
cea7ed7ded48b717c69e6beb053dd1bcd00bac35,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
d503fda35e5fa2ed7fbd6478f8c13ffc29b49772,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
01d54a8445d2629d9135ec7401434308bf139ca6,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
cea7ed7ded48b717c69e6beb053dd1bcd00bac35,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
e9e033409dd6429b487c0e65b4922e47cb65a7c0,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
01d54a8445d2629d9135ec7401434308bf139ca6,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
263093cdfd3089277d070b47b3aebcb6cb069314,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
e9e033409dd6429b487c0e65b4922e47cb65a7c0,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
e3083426b8936a541cf232dfc24bfaa190895a5e,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
32d871541a7f5c856e5148f8765f44f4d8f70025,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
05850808f7d3159815be39d7e56aceab3f7734a1,Current commit,18.0,43.0,41.0,14.0,1636.0,870.0
570ce1ee86bdc184dc79b316355aa310b08b2822,Previous commit,18.0,43.0,41.0,14.0,1636.0,870.0
72ec2819ecea7015e2dc70715eab9fff8d6ab4b2,Current commit,18.0,44.0,43.0,16.0,1884.0,976.0
8fe7bf4d8a42ec7799ed7a233e0a7b588028222a,Previous commit,18.0,44.0,43.0,16.0,1884.0,976.0
9557f6caae741782e7b0959acfe0ad31e0554236,Current commit,18.0,44.0,43.0,16.0,1884.0,976.0
6ba441b862729d97ab83c240346f09e7ce71023c,Previous commit,18.0,44.0,43.0,16.0,1884.0,976.0
5a83a3563510a8f7098a50963dcc907151d2f4cf,Current commit,18.0,44.0,43.0,16.0,1884.0,976.0
9a65edd645f1e0255955ccf9d614ad4bf34aaaa0,Previous commit,18.0,44.0,43.0,16.0,1884.0,976.0
fc3d9aa3bdc98cd0d3875f8e6fdb122d5631760c,Current commit,18.0,44.0,43.0,16.0,1884.0,976.0
3ba036c14dbbed35c819a3d5f87e084d7fa5949e,Previous commit,18.0,44.0,43.0,16.0,1884.0,976.0
d944b0258994454bd2e3f194e31fb9a89ce71add,Current commit,18.0,44.0,43.0,16.0,1873.0,975.0
c5d08c7da76c497cc995ff3d9677ef1d9868cc35,Previous commit,18.0,44.0,43.0,16.0,1884.0,976.0
c1b65c7b8d23f96ed1343072fa7bc9f5440f9d0b,Current commit,18.0,44.0,43.0,16.0,1877.0,975.0
328c24a1a26769d59af239c59d081dba5a84295a,Previous commit,18.0,44.0,43.0,16.0,1877.0,975.0
ecaf60227299fe67e1825d90c83dc2c3c6402137,Current commit,18.0,44.0,43.0,16.0,1877.0,975.0
d5b67c42faa46e405144f7abcc1a8e26bac13530,Previous commit,18.0,44.0,43.0,16.0,1877.0,975.0
1df7102fb315a5a6fcedc2770efb867d3766cb29,Current commit,18.0,44.0,43.0,16.0,1878.0,975.0
2cce853320b5fbd50131cf0e4ca8ef4ca9ba919d,Previous commit,18.0,44.0,43.0,16.0,1878.0,975.0
615c433b10136582d02e75e00c88a802ae06b47a,Current commit,13.0,39.0,34.0,16.0,5867.0,2997.0
