CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
90f44e05f5d5cd72e816f3262e1429498882ef9a,Current commit,12.0,35.0,30.0,15.0,35867.0,7936.0
95d4ddfd13be61a83a2bea312304041a8bddca77,Previous commit,12.0,35.0,30.0,15.0,35867.0,8003.0
d57ff589cd556beb1f475ba6bf9464a2dbfd0bbf,Current commit,13.0,38.0,31.0,18.0,38153.0,8683.0
e22fb5712f285ea7048dac76263f72a927d074dd,Previous commit,13.0,38.0,31.0,18.0,38153.0,8683.0
55876e25a49f39aa03811395d47659d19e1b85c4,Current commit,13.0,38.0,31.0,17.0,38059.0,8556.0
6d520eb243456789795553da438d166ce4118393,Previous commit,13.0,38.0,31.0,17.0,38059.0,8556.0
466018df5c942d93e3b74d5fc011ea357d7e9e49,Current commit,13.0,38.0,31.0,17.0,36681.0,8390.0
65efc0046140c69e8897d48f954ac27c678ccb05,Previous commit,13.0,38.0,31.0,17.0,36681.0,8390.0
00bab8533cc15b99189f58ef080daa7a2d466cc0,Current commit,13.0,38.0,31.0,17.0,36658.0,8381.0
cc390beb2f3833bb4d40f21518f4a50c3f6f75d6,Previous commit,13.0,38.0,31.0,17.0,36658.0,8381.0
8e6b2c4a087eaabbba3f68128adeea39c8354b71,Current commit,13.0,38.0,31.0,17.0,36604.0,8317.0
487a2850920b3f89e204612fa93d5f9605c75315,Previous commit,13.0,38.0,31.0,17.0,36604.0,8317.0
51661b39c4304820a7c9fd634e04d3b0d8e3bd08,Current commit,14.0,36.0,30.0,19.0,84307.0,16021.0
db73d006b63687a4acdbbdf6874a5d4962e4205d,Previous commit,13.0,36.0,30.0,18.0,79246.0,14779.0
03cc237a91380a30d1f614c6fa9375b5c818c0f9,Current commit,12.0,35.0,30.0,14.0,35741.0,7893.0
d0e053e3dc23d28b1942dace1eb9663f3661e11c,Previous commit,12.0,35.0,30.0,14.0,35741.0,7893.0
5d5d6564d2ea06536a57b2e5d0a3d8f9720cace8,Current commit,13.0,38.0,31.0,17.0,36604.0,8317.0
c1b58d5b0dc9fa1e37e4a9b31a9fbbfe40726c55,Previous commit,13.0,38.0,31.0,17.0,36604.0,8317.0
9de3dcb3c0af537699e0fea5887793e13b51761e,Current commit,12.0,35.0,30.0,14.0,35741.0,7893.0
0fbf36715df5a3314a91bd7b4bd462e58bb1b32d,Previous commit,12.0,35.0,30.0,14.0,35741.0,7893.0
854c58928f5fef7f9960a334682aa3c7e59d5982,Current commit,12.0,35.0,30.0,14.0,35692.0,7958.0
27e06566c92bf98e96d10d62694bf49b70d64175,Previous commit,12.0,35.0,30.0,14.0,35709.0,7994.0
