CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
b77ab1179a2666fdaf0d7578757a73212921ef62,Current commit,13.0,21.0,20.0,8.0,5628.0,4748.0
45cab9789f3f7eabba2b57212411dbb9b43aeb76,Previous commit,13.0,21.0,20.0,8.0,5628.0,4748.0
d7f10292e74a16413731279644f11e0fbbb64317,Current commit,12.0,27.0,25.0,10.0,7191.0,4908.0
aa0904bdc3f465a310e31574bd86cce56bb687d5,Previous commit,12.0,27.0,25.0,10.0,7191.0,4908.0
4dd95844d50137de675154c3dc2481e7de7ddaae,Current commit,12.0,27.0,25.0,10.0,7201.0,4911.0
63482252beff47c2076e6230d7ee4edb4970e9f8,Previous commit,12.0,27.0,25.0,10.0,7199.0,4907.0
d14cc227a66f6308dc221482fab7812eba01cf82,Current commit,12.0,22.0,21.0,9.0,1730.0,1134.0
a3d05acb295d6afc081794e4d74caf983ddfd476,Previous commit,12.0,22.0,21.0,9.0,1730.0,1134.0
b809c96d15d9267c7d53beee25635245b1a7eb8e,Current commit,10.0,20.0,19.0,8.0,2628.0,1724.0
bb961e9c3a41eedfecec792b5bf6adcc1a173b03,Previous commit,10.0,20.0,19.0,8.0,2628.0,1724.0
85ad82ac15dacc22c1066565383160e95c1cce32,Current commit,10.0,20.0,19.0,8.0,2628.0,1724.0
0d2f742915c64e4a8c4d1585263b7528b08f2b30,Previous commit,10.0,20.0,19.0,8.0,2628.0,1724.0
c2ecb9c3e91fae3b1a8bb1dad47a644e9b06d69d,Current commit,10.0,20.0,19.0,8.0,2628.0,1723.0
cd24bee3d3afda52f4a3c6a17b39d6db679730cc,Previous commit,10.0,20.0,19.0,8.0,2628.0,1724.0
521b80517e3cf3acfd3d5b16f86132af37d912bd,Current commit,10.0,20.0,18.0,8.0,2607.0,1731.0
4e921721fbe4d01673f0d6dbc580a65732514aef,Previous commit,10.0,20.0,19.0,8.0,2631.0,1732.0
873c96105654604814f5af03309470fa9d20aa05,Current commit,9.0,23.0,19.0,8.0,3356.0,2793.0
fd6dd72045978802b08eeb086c6401a3dd9f5b52,Previous commit,9.0,23.0,19.0,8.0,3356.0,2793.0
5b2ad9722e6e99fdf18fc5d2384954e0450610db,Current commit,9.0,24.0,20.0,9.0,4326.0,3388.0
b749ba7f18c0f8a087c8578a882e1f4c4094a93f,Previous commit,9.0,24.0,20.0,9.0,4326.0,3388.0
c72126db2e9ca76121768ed65c6df5702ddc2abd,Current commit,9.0,27.0,23.0,9.0,4755.0,3539.0
bb6ac28996e5e55123521cdbf74ec7a183032258,Previous commit,9.0,27.0,23.0,9.0,4755.0,3539.0
ee1e49810787477a91cb68ff7a526c3860bd1037,Current commit,9.0,28.0,23.0,9.0,4777.0,3561.0
8bb0079196f835da450af14ce2b95858ff1bc6e8,Previous commit,9.0,28.0,23.0,9.0,4777.0,3561.0
0778dc4eaaf2d30a5bbd40eb13d57f9cd2a178a5,Current commit,9.0,28.0,23.0,9.0,4777.0,3561.0
4cb45a910404539d36172d38a064aed6fc833162,Previous commit,9.0,28.0,23.0,9.0,4777.0,3561.0
4e4fa8f16842c39202611c7945739b8cb954db68,Current commit,9.0,28.0,23.0,9.0,4876.0,3617.0
aef0bed919cf851c409abaafb250987be3069d00,Previous commit,9.0,28.0,23.0,9.0,4876.0,3821.0
3cef4ec80c41e3443d5bb24157c3d5569daf050d,Current commit,9.0,28.0,23.0,9.0,4896.0,3821.0
ac06ad9788d40942f947781cd89057d8c72a859c,Previous commit,9.0,28.0,23.0,9.0,4896.0,3821.0
cbcc7c3aec71447bec7e9af307bb6a69c59e1810,Current commit,9.0,27.0,23.0,9.0,4903.0,3832.0
0294276185ad63fb9d92df43f44af94bc76d71e0,Previous commit,9.0,27.0,23.0,9.0,4903.0,3832.0
f3a631f657b9b0c71d6c0b8879c1eb37b95ff840,Current commit,10.0,24.0,20.0,9.0,4370.0,3388.0
3c26e99111d72ba29d4ee2170cfc7878c39558fb,Previous commit,9.0,24.0,20.0,9.0,4326.0,3388.0
59806ded2cf846f186bd9020c362ec541995a7bc,Current commit,9.0,27.0,23.0,9.0,4903.0,3832.0
2482c10ae695ed6a6aeda696111b532b394dd404,Previous commit,9.0,27.0,23.0,9.0,4903.0,3832.0
7d5d5fa4eb63255ec9a1c7e6dc4e471c9d1cb9fe,Current commit,9.0,26.0,22.0,9.0,4821.0,3598.0
3d1c4a62b67f34d5b3edf940570b0b0fa6db4f9e,Previous commit,9.0,27.0,23.0,9.0,4755.0,3539.0
594dabf57e4ea0d996be814200c3f88ffb8d741f,Current commit,9.0,28.0,23.0,9.0,4896.0,3821.0
8f761bdd5e40a34266b05a7d0832bdb3d6858418,Previous commit,9.0,28.0,23.0,9.0,4876.0,3821.0
