CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
4c9c4377cdf4ab63b8cce0c32b38ffe383e730c3,Current commit,14.0,31.0,27.0,15.0,312544.0,9021.0
2889b0b5a824a573186e231160f9c95cb383b00b,Previous commit,14.0,31.0,27.0,15.0,312544.0,9021.0
46d552158da346847f06c8aa015422a5ce6ff3dd,Current commit,13.0,34.0,30.0,15.0,277753.0,13611.0
9fafa179aa6cb818971fad38cc4f17b6c14cfde9,Previous commit,13.0,34.0,30.0,15.0,276654.0,13610.0
9e958d65f6f682583a1fc2d864752dce1189a722,Current commit,9.0,33.0,27.0,10.0,38843.0,4854.0
ecfc81b5dbfd80f9f88fd3b0b56c62c68bd50869,Previous commit,10.0,32.0,26.0,10.0,39022.0,4819.0
b5567c84f945964bd5879feaf724e4c582929988,Current commit,9.0,33.0,27.0,11.0,40249.0,4838.0
a9557baf558124b601875a4529035b8b43509c99,Previous commit,9.0,33.0,27.0,11.0,40249.0,4838.0
c5b299c04e2c7d91aa58f39bc13af633434cdcf6,Current commit,14.0,31.0,27.0,15.0,312544.0,9021.0
4c9c4377cdf4ab63b8cce0c32b38ffe383e730c3,Previous commit,14.0,31.0,27.0,15.0,312544.0,9021.0
6ef72d409b63715025664416ed977a6131651858,Current commit,14.0,31.0,27.0,15.0,318736.0,9062.0
cb1d5e4b9b80850392ae0d359ea310385dda8b7a,Previous commit,14.0,31.0,27.0,15.0,318736.0,9062.0
6fc65f518dcb6c8f1762531eb9b7bb01a1b6316b,Current commit,13.0,31.0,27.0,15.0,299221.0,8972.0
20840e1f19cb524e8317940554e9808bd0d871a2,Previous commit,13.0,31.0,27.0,15.0,299521.0,8972.0
9e7a78efbc412239a4dc9f07e3537d6e141a8c32,Current commit,14.0,31.0,27.0,15.0,312527.0,9020.0
e22ff60044895d4e65b97376c442984872272ef9,Previous commit,14.0,31.0,27.0,15.0,312527.0,9020.0
872edc67bfa296f6f16e3ac6374aece4bede5567,Current commit,12.0,34.0,30.0,16.0,285993.0,26466.0
60ed2d7fff6398a9f3ad160f3e3dd303cb83b37c,Previous commit,12.0,34.0,30.0,16.0,285993.0,26466.0
07a16bbe50a542ac998aa6621114eb67c7b5bfc7,Current commit,13.0,34.0,30.0,15.0,283969.0,13466.0
a0773955cf84a1ee1d1138924f611aba2f92008b,Previous commit,13.0,34.0,30.0,15.0,283969.0,13466.0
7dc7da69da44a632c9518d2dadb0c3af61796a47,Current commit,12.0,34.0,30.0,15.0,287382.0,25146.0
ed4de41d9411f77dba00a615e28bafbe0fa82c39,Previous commit,12.0,34.0,29.0,15.0,287737.0,25145.0
f0b3bf7045ffbde2804abf1b63c4b4a7e7933b30,Current commit,13.0,29.0,25.0,15.0,358631.0,14078.0
65e47305714b683c23a07a8d2829b456644dee6e,Previous commit,13.0,29.0,25.0,15.0,358631.0,14078.0
a1b19a267d9a0c79df42b533df6cb9106895eaa3,Current commit,13.0,30.0,26.0,15.0,331970.0,9280.0
53a99be667f06dfbe2d3a843c538fbe918375392,Previous commit,14.0,30.0,26.0,15.0,326800.0,9226.0
d0c6b35be7d506d706626bd4d0c70677e22770b0,Current commit,13.0,34.0,30.0,16.0,311424.0,21135.0
c1c75fa547f7053077f7ed8d27b49b4fef4e6fa5,Previous commit,13.0,34.0,30.0,16.0,311394.0,21136.0
a33aca40bd224453ad8b0939b2f5af385017b946,Current commit,14.0,31.0,27.0,15.0,314367.0,9029.0
7d3c767df7a48aacfaface3df97e3356ede61640,Previous commit,14.0,31.0,27.0,15.0,313680.0,9022.0
c99bad66cf58fba41b28886b06ad9dbe763e3bbb,Current commit,13.0,34.0,30.0,15.0,276770.0,13597.0
02c32758ae5a5373ab5d096309ac52d547b9ff4c,Previous commit,13.0,34.0,30.0,15.0,276061.0,13593.0
02510127b61e57fffeac2ccb01beeb32301d5544,Current commit,13.0,29.0,25.0,15.0,358631.0,14078.0
dbf4834890a13cb831abf75e2f950a2d88ad1366,Previous commit,13.0,29.0,25.0,15.0,358631.0,14078.0
c5caaff7f435bc19adece51921ba578d530d3e7f,Current commit,13.0,35.0,30.0,16.0,317440.0,20923.0
068024bded3d120935922b408734adab5b91a40d,Previous commit,13.0,35.0,30.0,16.0,316067.0,20797.0
ee5fbb601378fd4134daaf6c0fd158939e14c3ea,Current commit,12.0,34.0,30.0,16.0,301178.0,24619.0
dfe49c5c0360e3623d7f21dd47e88ca797c226fa,Previous commit,12.0,34.0,30.0,16.0,301178.0,24619.0
7caa2a8a522fbe09e5d0bbcd429238c1c1dae9fa,Current commit,10.0,33.0,28.0,12.0,58023.0,7668.0
73a0b9b95e6e8d628baa6fdca73d0a2e20f94b7d,Previous commit,10.0,33.0,28.0,12.0,57594.0,7579.0
