CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
408e5a1ba90bca8f0e3f808dfd9ed46dcd010f8e,Current commit,17.0,48.0,42.0,15.0,170.0,7.0
b05b4c9f6f0388b7dfb8e17cc76ed4c9d31a4a12,Previous commit,6.0,100.0,100.0,1.0,8.0,0.0
ef5ef634c3c7eb068c54c78a3cc4d51d72c53a2a,Current commit,12.0,38.0,35.0,10.0,620.0,5.0
acc9144665c06ff87810846d115005d307899e9d,Previous commit,14.0,53.0,47.0,14.0,422.0,9.0
938587b4f4535d799e45477d9c6ac705230c3f9f,Current commit,11.0,32.0,28.0,9.0,701.0,7.0
6e9b7948779947dcab9ffa18adac3d375875efe5,Previous commit,11.0,32.0,28.0,9.0,701.0,7.0
f312212a8878d0b411fd31162d369fa08ec7b979,Current commit,12.0,32.0,28.0,9.0,711.0,7.0
81bea6a7d38dac9757d4e54c4cf2397ab2f3c3e8,Previous commit,12.0,32.0,28.0,9.0,711.0,7.0
0f305cf83b5c7aa73e5e57279a4c98f5520e06e1,Current commit,12.0,30.0,27.0,9.0,783.0,24.0
98718d465cef71024a599761d79f2800b53f0dcc,Previous commit,12.0,30.0,27.0,9.0,783.0,24.0
853bf6f53e23deb9e51cd7e1a397f68186bdf781,Current commit,12.0,30.0,26.0,9.0,771.0,50.0
56d3768ecb49127f9bc7b05f916c49765cef4970,Previous commit,12.0,30.0,27.0,9.0,768.0,50.0
70c2059f36df954bc97ee343c8114984fd0220d0,Current commit,12.0,30.0,26.0,9.0,771.0,50.0
8872a657660e612ebb3833435170beb72d7c73ec,Previous commit,12.0,30.0,26.0,9.0,771.0,50.0
897438f11dd1b468c1cfa3a94f760842e5fddbc5,Current commit,12.0,30.0,26.0,9.0,763.0,62.0
126099d84ae12e7f7c21c60e28458b0c8c61c725,Previous commit,12.0,30.0,26.0,9.0,760.0,62.0
7b06c83899fecc616ebdfa7f9f6db6d9c7bcec3b,Current commit,12.0,30.0,26.0,9.0,758.0,62.0
