CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
0ce182b3a578bb0180b1b3671362904a63058583,Current commit,11.0,22.0,20.0,8.0,5537.0,565.0
7fa5ff510438a0f9d9f016c96dd64c7db72bfa3b,Previous commit,10.0,21.0,18.0,9.0,8759.0,572.0
f9b6c41da182436907e48dd70480898d31407f57,Current commit,10.0,22.0,21.0,6.0,3077.0,386.0
c7d3d6cf682f16122d144b899c28e9ba3eea85a2,Previous commit,10.0,22.0,21.0,6.0,3077.0,386.0
6fb44a87a6a6bac6fcfd1a16bf97c136fcb31875,Current commit,11.0,23.0,21.0,8.0,5412.0,554.0
45fc4006aef1175caa7f61ffd023cdd8fe9de8b8,Previous commit,11.0,23.0,21.0,8.0,5401.0,554.0
9b65c2704f946ea3d7bb9df32d4f82859414b3ec,Current commit,10.0,20.0,17.0,9.0,8782.0,578.0
b342d8685fa9d00c3b909692cc564a483d41ab98,Previous commit,10.0,20.0,17.0,9.0,8782.0,578.0
2c837358a23071f747b3be76e8ecce1528f947cd,Current commit,10.0,22.0,21.0,6.0,3110.0,387.0
2e7e3b7dc1b2625049c769a7287d1d0148b18b04,Previous commit,10.0,22.0,21.0,6.0,3110.0,387.0
b20e12bb5da3283b8770f50286531148d271aaae,Current commit,10.0,23.0,22.0,7.0,3724.0,422.0
556b0176d565f96a48e6bc71bbf64b17eab165b0,Previous commit,10.0,23.0,22.0,7.0,3724.0,422.0
75cd5bb220eaa3193ab5da41f7dfc013914914f4,Current commit,11.0,23.0,21.0,8.0,5412.0,554.0
c5f1d164aa25a42b1c7303c84aca9c26d2eb8962,Previous commit,11.0,23.0,21.0,8.0,5412.0,554.0
bbb3ee89bc0b595d6fbec9363a0d3f52bc9093d3,Current commit,11.0,22.0,21.0,8.0,5449.0,559.0
d020b8ec2b3bf4da4f2f63d5520008f3c8f38d7b,Previous commit,11.0,22.0,21.0,8.0,5449.0,559.0
4b313f156f89b43bfcf6cd00177a274e9d36fbfc,Current commit,11.0,22.0,21.0,8.0,5449.0,559.0
b65b301ef4d3b1910e1577da78fbdbae849721f6,Previous commit,11.0,22.0,21.0,8.0,5449.0,559.0
e8fe30948792fa841595cab673f6dbf7b30526f1,Current commit,11.0,22.0,21.0,8.0,5458.0,563.0
2523227d7ff30a6b313b57bd395afc6274ea9144,Previous commit,10.0,20.0,19.0,7.0,4127.0,430.0
6eee1c0f0918315317efca582dd14d3b6f3afbcb,Current commit,10.0,20.0,17.0,9.0,8824.0,575.0
