CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
241dd879e7625dc65da213a6fad52a8ca95737e8,Current commit,13.0,37.0,32.0,15.0,1608,172
3c42ace35b5a2f0809b93ea16456aa0980e18171,Previous commit,13.0,37.0,32.0,15.0,1608,172
6eea48757d740d12cc9325852ac270ecd93ee8de,Current commit,13.0,37.0,32.0,15.0,1599,172
bfa0270a74f5ee59e06f5c7867b441095af6a70f,Previous commit,13.0,37.0,32.0,15.0,1599,172
8f930247e12b372a8cc3782c0918c23c6aea8c7a,Current commit,13.0,37.0,32.0,15.0,1599,172
5b98e027aa21aa8d9f65143ccc659b8e70013414,Previous commit,13.0,37.0,32.0,15.0,1599,172
de113e64ef9881d483d48fa2856b4ca52d9e4e72,Current commit,13.0,37.0,32.0,15.0,1608,172
799a30e60a8d1b3052a2b981095101dafdcef4ea,Previous commit,13.0,37.0,32.0,15.0,1608,172
6cb639047a24cae9c4cd1a4b6db058b2d64e7b7f,Current commit,13.0,37.0,32.0,15.0,1608,172
a04bed3ea79b0571114180f8680a41987638cc6a,Previous commit,13.0,37.0,32.0,15.0,1608,172
bf68518316a11a2eb481ebc47da713c4b99d6e63,Current commit,12.0,34.0,29.0,15.0,1683,180
bdcd7023bd178214fea0b6cc53c9c6d93ce18f1b,Previous commit,12.0,34.0,29.0,15.0,1683,180
9e291004071f7035302c10dc0f519e9f88adbf3d,Current commit,12.0,34.0,29.0,14.0,1660,180
0575a9cc9d5766d5597a8118fdee4d1723970184,Previous commit,12.0,34.0,29.0,14.0,1660,180
ae2fa2545138436bf970d5eafc5b68d3c99778fa,Current commit,12.0,34.0,29.0,14.0,1660,180
3dba6fa6b28e0d68d08769609a04b84769dac338,Previous commit,12.0,34.0,29.0,14.0,1660,180
7661ffde3c8362529e43ae74082574de95395a1c,Current commit,12.0,30.0,24.0,13.0,1908,209
71889a4201f3f9a253b8c0bbb7700167e8fc8310,Previous commit,12.0,30.0,24.0,13.0,1908,209
77156822c55f59563a4924ca0f35ab4e1c8e3695,Current commit,12.0,28.0,23.0,12.0,2141,217
